19260102,0.005689,0.009516
19260104,0.000706,0.00578
19260105,-0.004821,-0.001927
19260106,-0.000423,0.001182
19260107,0.004988,0.008453
19260108,-0.003238,-0.001689
19260109,0.002209,0.003312
19260111,-0.00854,-0.009943
19260112,-0.000929,-0.003623
19260113,0.0037,0.007576
19260114,-0.005034,-0.002847
19260115,-0.012688,-0.013091
19260116,-0.001224,-0.001544
19260118,0.005244,0.006018
19260119,-0.010983,-0.01135
19260120,0.004059,-0.001376
19260121,-0.007062,-0.003772
19260122,0.005029,0.002281
19260123,0.005657,0.006987
19260125,0.004723,0.006726
19260126,-0.005384,-0.005749
19260127,0.00717,0.00528
19260128,0.003801,0.007786
19260129,0.008204,0.008687
19260130,0.000687,0.004532
19260201,-0.002864,-0.002473
19260202,0.005334,0.004416
19260203,0.005243,0.005728
19260204,0.00512,0.004818
19260205,-0.000215,0.002155
19260206,0.000577,0.001864
19260208,-0.006726,-0.007355
19260209,0.00567,0.008391
19260210,0.00074,-0.001415
19260211,0.000895,0.000118
19260213,-0.001137,-0.002787
19260215,-0.019659,-0.023189
19260216,0.003382,0.001602
19260217,0.005186,0.003319
19260218,0.002033,0.003514
19260219,0.000291,-0.003348
19260220,-0.001115,-0.000378
19260223,-0.009218,-0.009866
19260224,-0.004304,-0.007171
19260225,-0.010465,-0.011729
19260226,-0.013364,-0.017176
19260227,0.000758,0.000943
19260301,-0.013277,-0.014712
19260302,-0.025525,-0.02797
19260303,-0.018591,-0.026268
19260304,0.041403,0.043254
19260305,0.006305,0.017716
19260306,-0.003078,-0.001583
19260308,-0.006076,-0.011374
19260309,0.007683,0.01282
19260310,0.008828,0.010522
19260311,0.006263,0.005776
19260312,0.003438,0.003573
19260313,-0.015513,-0.01554
19260315,0.0019,-0.002119
19260316,-0.00206,0.000117
19260317,-0.007107,-0.012213
19260318,-0.012812,-0.018166
19260319,-0.006102,-0.006147
19260320,0.001197,0.003667
19260322,0.008321,0.008233
19260323,-0.005796,-0.002953
19260324,-0.019537,-0.023081
